truck_number_plate,vehicle_model,year_bought,service_date,last_service_date,total_km_run,km_after_last_service,avg_daily_km_est,engine_temperature_c,vibrations_level,oil_life_percent,battery_health_percent,route_type,load_profile,ambient_temp_c,brake_pad_thickness_mm,tyre_health_percent,fuel_efficiency_kmpl,approx_past_services,parts_changed_last_service,days_until_next_service
MH31AB9761,Mahindra Blazo X,2021,2023-02-02,2021-11-22,377031,26623,175,72,3.71,67,58,Highway,Heavy,8,7,31,5.07,9,Brake Pads,35
MH64AB4925,Tata Prima,2012,2022-11-08,2021-12-06,69477,8297,457,81,3.71,69,40,Mixed,Medium,36,5,45,3.12,10,None,41
MH34AB3321,BharatBenz 2823R,2023,2024-10-25,2021-12-15,460482,8846,102,89,3.71,56,59,Mixed,Heavy,36,15,32,4.16,13,None,15
MH63AB9498,BharatBenz 2823R,2010,2024-08-08,2021-04-17,267400,20378,247,85,3.71,94,73,Highway,Medium,4,4,72,5.02,13,Oil Filter,96
MH80AB9188,Tata Prima,2017,2023-11-30,2021-11-09,267060,34172,348,83,3.71,80,31,Mixed,Medium,38,5,35,5.63,5,Fuel Pump,9
MH78AB1366,Mahindra Blazo X,2014,2022-05-11,2021-04-20,439959,18153,237,85,3.71,18,56,Mixed,Light,28,9,69,5.24,7,Air Filter,68
MH71AB5084,Ashok Leyland 3718,2012,2023-08-31,2021-08-09,561181,26640,235,128,3.71,93,57,Mixed,Medium,20,19,14,5.19,17,Fuel Pump,80
MH79AB7616,BharatBenz 2823R,2019,2023-04-09,2021-11-28,557831,1684,354,122,3.71,76,34,City,Medium,17,5,63,3.1,15,None,7
MH58AB6276,Tata Prima,2023,2023-03-05,2021-09-14,455105,34993,347,118,3.71,72,26,Mixed,Heavy,3,12,47,3.88,5,Oil Filter,60
MH10AB9086,Eicher Pro 6035,2016,2022-10-17,2021-11-16,336479,25346,253,112,3.71,32,97,City,Light,31,17,71,2.67,7,Fuel Pump,67
MH77AB2771,Tata Prima,2016,2023-10-14,2021-08-27,398754,22695,499,118,3.71,75,69,Mixed,Heavy,2,4,34,5.38,2,Air Filter,109
MH64AB3184,Eicher Pro 6035,2010,2024-02-27,2021-05-20,323586,6106,60,120,3.71,14,84,City,Light,8,8,21,6.31,18,Coolant,42
MH28AB3146,Mahindra Blazo X,2021,2024-06-15,2021-10-14,882721,4456,408,123,3.71,61,86,Highway,Heavy,1,3,31,3.56,10,None,58
MH89AB6017,Ashok Leyland 3718,2018,2023-10-06,2021-12-11,890179,17055,403,102,3.71,70,63,Highway,Medium,1,2,18,2.85,1,Brake Pads,6
MH15AB4117,Tata Prima,2011,2022-05-27,2021-04-12,873759,25349,195,99,3.71,94,50,Mixed,Light,3,2,93,4.4,14,Brake Pads,94
MH58AB9457,BharatBenz 2823R,2014,2023-02-03,2021-06-27,384971,19190,134,128,3.71,54,62,City,Light,-3,7,38,5.93,19,None,6
MH61AB7493,Mahindra Blazo X,2022,2023-02-17,2021-06-05,680752,26847,149,81,3.71,18,96,Highway,Light,8,8,53,4.71,16,Coolant,16
MH90AB3841,Tata Prima,2023,2022-04-20,2021-05-28,181184,33689,153,84,3.71,20,67,Highway,Light,11,6,36,2.69,19,Oil Filter,44
MH71AB3586,BharatBenz 2823R,2014,2022-08-16,2021-04-09,137051,38808,485,87,3.71,58,80,Highway,Heavy,44,19,64,6.4,6,Fuel Pump,6
MH95AB9050,Tata Prima,2023,2023-12-14,2021-03-17,200653,26285,95,97,3.71,47,94,Highway,Heavy,38,14,90,5.81,12,Fuel Pump,109
MH58AB8982,Eicher Pro 6035,2017,2023-12-18,2021-09-13,295300,33198,93,92,3.71,46,29,Mixed,Light,16,2,14,3.03,3,Coolant,84
MH81AB3826,Tata Prima,2023,2024-02-05,2021-11-05,634010,16466,327,83,3.71,85,48,City,Light,40,11,61,6.19,7,Coolant,98
MH45AB1822,Tata Prima,2017,2023-06-25,2021-06-23,142036,31597,230,99,3.71,26,67,Highway,Light,20,10,22,4.3,3,Air Filter,61
MH87AB6231,Tata Prima,2023,2024-01-20,2021-04-24,802922,16382,236,102,3.71,72,81,Mixed,Heavy,22,18,51,3.99,17,Air Filter,51
MH47AB2636,Mahindra Blazo X,2016,2022-03-28,2021-05-12,197595,5175,163,114,3.71,23,32,Highway,Light,39,2,24,4.34,15,Brake Pads,114
MH83AB5846,Tata Prima,2016,2022-02-21,2021-05-15,822997,13509,304,84,3.71,70,63,Highway,Light,8,2,88,5.84,19,Oil Filter,40
MH34AB6776,BharatBenz 2823R,2021,2023-01-12,2021-04-22,331696,28343,430,76,3.71,43,66,Highway,Light,3,8,27,5.14,19,Oil Filter,8
MH73AB1532,Eicher Pro 6035,2020,2022-06-14,2021-06-05,566612,30293,429,84,3.71,77,83,Highway,Heavy,20,5,59,2.74,11,Coolant,79
MH64AB5032,Eicher Pro 6035,2015,2023-04-26,2021-06-10,191880,39371,79,121,3.71,23,72,Mixed,Medium,-4,13,11,6.33,2,Brake Pads,28
MH26AB7903,Tata Prima,2015,2024-11-10,2021-03-12,285419,18357,313,111,3.71,20,96,City,Medium,5,17,96,3.09,7,Brake Pads,86
MH70AB4156,Mahindra Blazo X,2020,2022-06-05,2021-04-05,204692,20127,147,115,3.71,58,95,Mixed,Heavy,11,15,22,5.48,19,Air Filter,95
MH42AB6855,Mahindra Blazo X,2018,2024-08-09,2021-11-10,313031,19065,362,107,3.71,29,63,Mixed,Medium,28,11,77,5.04,7,Fuel Pump,105
MH48AB2330,BharatBenz 2823R,2015,2023-06-09,2021-04-30,343946,26525,416,115,3.71,22,47,Mixed,Light,13,15,56,3.25,10,Oil Filter,66
MH32AB3506,Tata Prima,2021,2024-07-23,2021-06-27,659312,28332,378,125,3.71,27,21,Highway,Light,33,8,98,3.18,12,Brake Pads,6
MH66AB2015,Eicher Pro 6035,2022,2023-11-21,2021-12-29,538765,10282,164,126,3.71,89,76,City,Heavy,12,5,84,5.98,18,Air Filter,19
MH58AB7631,Mahindra Blazo X,2022,2023-02-14,2021-03-09,820097,39150,325,123,3.71,15,76,Highway,Heavy,7,3,59,4.18,6,Air Filter,79
MH97AB3255,Tata Prima,2011,2024-11-01,2021-08-10,692927,22866,330,113,3.71,43,53,Mixed,Medium,-1,19,21,5.12,8,Air Filter,95
MH63AB3424,Mahindra Blazo X,2011,2024-05-03,2021-12-13,656226,29057,324,80,3.71,72,77,Highway,Medium,44,17,22,4.52,5,Fuel Pump,53
MH70AB7152,Mahindra Blazo X,2022,2023-05-07,2021-10-07,267813,6298,310,98,3.71,29,71,City,Light,17,10,18,5.41,3,Brake Pads,116
MH84AB7602,Eicher Pro 6035,2014,2024-03-28,2021-09-08,826388,10127,380,100,3.71,67,48,City,Heavy,18,6,68,4.42,2,Coolant,115
MH57AB6457,Ashok Leyland 3718,2013,2022-03-01,2021-03-07,434890,12966,256,94,3.71,34,54,Highway,Medium,23,10,54,3.65,6,Coolant,91
MH61AB1912,BharatBenz 2823R,2020,2024-04-14,2021-04-13,862481,13220,433,121,3.71,49,94,Mixed,Medium,42,9,79,3.95,7,Air Filter,39
MH12AB9375,BharatBenz 2823R,2011,2024-02-25,2021-10-12,389933,37792,377,123,3.71,94,67,Highway,Light,41,17,52,5.94,8,Air Filter,98
MH65AB1058,Eicher Pro 6035,2012,2023-05-08,2021-08-20,658814,7059,260,93,3.71,65,52,Mixed,Light,2,19,83,4.37,4,Fuel Pump,51
MH37AB4550,Mahindra Blazo X,2016,2022-01-17,2021-12-29,451062,19658,264,126,3.71,55,94,City,Light,20,5,32,3.35,12,Air Filter,28
MH86AB5131,Tata Prima,2017,2024-04-18,2021-06-05,533779,31416,460,88,3.71,13,92,Highway,Light,9,17,88,6.24,12,None,87
MH79AB5932,Mahindra Blazo X,2021,2023-10-18,2021-07-07,547952,22557,89,71,3.71,80,97,City,Medium,-5,5,54,5.69,17,Brake Pads,64
MH51AB1344,Eicher Pro 6035,2022,2023-12-09,2021-09-09,620508,36392,75,91,3.71,6,28,Mixed,Heavy,22,7,32,2.72,19,Air Filter,97
MH52AB5216,BharatBenz 2823R,2015,2024-08-07,2021-06-28,882595,12206,76,89,3.71,9,67,Mixed,Heavy,43,4,43,6.5,9,Air Filter,81
MH41AB2044,Mahindra Blazo X,2020,2023-07-12,2021-05-25,446981,12570,239,102,3.71,66,86,Highway,Light,41,19,25,5.28,12,Brake Pads,52
MH84AB9448,BharatBenz 2823R,2014,2023-01-01,2021-05-09,429270,1424,132,77,3.71,73,55,Highway,Light,40,16,72,3.14,17,Oil Filter,27
MH13AB2691,Tata Prima,2022,2022-06-24,2021-10-24,125277,26978,433,94,3.71,56,90,Highway,Medium,8,9,60,3.45,10,None,16
MH99AB5450,BharatBenz 2823R,2010,2023-07-08,2021-05-11,569570,6006,483,115,3.71,90,63,City,Light,36,19,41,5.27,19,None,117
MH22AB4544,BharatBenz 2823R,2017,2024-12-20,2021-07-20,533455,35663,219,78,3.71,9,79,Mixed,Heavy,28,4,47,5.62,11,Coolant,116
MH96AB3472,Ashok Leyland 3718,2012,2023-08-26,2021-07-05,172332,25104,462,103,3.71,63,82,Mixed,Light,25,7,65,3.46,13,Air Filter,45
MH14AB1695,Ashok Leyland 3718,2015,2024-11-16,2021-08-27,284231,15810,216,126,3.71,72,24,City,Heavy,0,16,78,3.53,4,Brake Pads,33
MH24AB4831,Ashok Leyland 3718,2012,2024-03-03,2021-08-30,597219,8726,237,92,3.71,13,95,Highway,Light,43,13,26,3.73,15,Coolant,74
MH60AB1406,BharatBenz 2823R,2016,2024-12-31,2021-12-12,139116,12281,218,74,3.71,97,59,Highway,Light,-1,6,95,4.89,12,Fuel Pump,55
MH83AB8952,Eicher Pro 6035,2022,2024-05-06,2021-04-30,301671,6015,338,124,3.71,26,38,City,Heavy,25,8,48,3.19,10,Oil Filter,27
MH75AB3793,BharatBenz 2823R,2023,2023-11-24,2021-11-03,892065,36633,278,94,3.71,31,66,Mixed,Medium,31,16,50,2.92,7,Air Filter,35
MH11AB1795,Eicher Pro 6035,2016,2024-11-15,2021-05-23,523918,17472,146,77,3.71,14,84,Mixed,Medium,9,8,57,5.22,2,Oil Filter,113
MH13AB9084,Eicher Pro 6035,2021,2024-09-13,2021-12-17,626201,32592,416,85,3.71,84,86,Mixed,Light,9,14,91,5.62,7,Air Filter,25
MH31AB3031,Ashok Leyland 3718,2018,2024-07-07,2021-12-21,824504,11910,65,123,3.71,65,37,Mixed,Light,37,4,37,4.5,8,Air Filter,28
MH74AB9339,Mahindra Blazo X,2014,2024-05-31,2021-06-22,669064,20022,328,117,3.71,55,69,City,Heavy,-1,14,86,3.96,19,Air Filter,76
MH19AB8121,Tata Prima,2017,2024-02-21,2021-09-13,75991,9595,184,114,3.71,14,49,Mixed,Heavy,22,4,59,4.23,6,Oil Filter,112
MH50AB8070,Ashok Leyland 3718,2019,2024-06-29,2021-10-29,564265,23547,75,121,3.71,10,85,City,Light,27,3,10,4.05,8,None,13
MH72AB5282,Ashok Leyland 3718,2019,2022-10-24,2021-10-03,760205,20970,401,84,3.71,66,24,Highway,Heavy,5,5,59,6.34,4,Fuel Pump,26
MH21AB3299,Mahindra Blazo X,2017,2024-01-17,2021-08-06,678380,9031,61,70,3.71,9,61,City,Medium,37,18,28,5.57,9,None,8
MH41AB4509,Tata Prima,2010,2024-03-29,2021-05-22,279577,37538,121,91,3.71,74,24,Mixed,Medium,0,7,68,3.33,5,Brake Pads,81
MH57AB2966,BharatBenz 2823R,2021,2023-09-03,2021-07-27,760672,22903,182,72,3.71,67,69,Highway,Heavy,17,12,77,4.04,6,Brake Pads,102
MH58AB6896,BharatBenz 2823R,2014,2023-04-07,2021-06-18,453777,29622,155,107,3.71,60,77,City,Heavy,34,7,76,4.68,19,None,7
MH45AB2451,Ashok Leyland 3718,2012,2024-06-30,2021-06-06,811401,17440,269,123,3.71,63,98,City,Heavy,-4,3,50,4.95,12,Fuel Pump,105
MH70AB2880,Tata Prima,2010,2023-05-26,2021-04-19,145556,30331,422,83,3.71,67,27,City,Medium,9,18,19,4.37,5,Fuel Pump,32
MH18AB4661,Ashok Leyland 3718,2013,2022-09-10,2021-05-21,899307,11779,226,105,3.71,93,50,Highway,Light,17,4,37,5.74,5,Air Filter,94
MH39AB9952,Eicher Pro 6035,2017,2023-12-30,2021-10-17,206989,38720,331,87,3.71,63,31,City,Heavy,16,13,43,5.57,18,Air Filter,118
MH87AB1958,Ashok Leyland 3718,2012,2024-02-19,2021-11-14,374264,6977,182,116,3.71,55,40,Mixed,Heavy,3,15,48,4.52,6,Brake Pads,114
MH60AB5645,Ashok Leyland 3718,2019,2022-07-01,2021-06-11,445204,17900,71,110,3.71,54,81,Highway,Heavy,41,3,92,5.92,9,Air Filter,102
MH32AB5821,BharatBenz 2823R,2011,2024-11-16,2021-06-12,556961,6970,318,87,3.71,8,52,Highway,Light,34,6,65,5.5,11,Air Filter,19
MH77AB1157,BharatBenz 2823R,2020,2024-02-12,2021-10-08,702755,2562,461,72,3.71,52,45,City,Heavy,24,11,61,5.61,14,Fuel Pump,12
MH72AB6124,BharatBenz 2823R,2018,2023-07-03,2021-10-12,570616,20380,210,79,3.71,36,59,Mixed,Heavy,10,11,12,6.33,2,Oil Filter,52
MH67AB2228,Eicher Pro 6035,2019,2024-05-14,2021-05-15,457472,35081,156,118,3.71,55,84,Highway,Medium,40,10,32,3.57,14,None,103
MH21AB1481,BharatBenz 2823R,2014,2022-04-27,2021-03-26,430634,14808,328,108,3.71,56,78,City,Heavy,41,14,26,3.57,19,Coolant,92
MH13AB1135,Tata Prima,2023,2024-11-04,2021-05-30,793088,26527,402,116,3.71,78,34,Mixed,Medium,24,11,80,6.06,10,Coolant,56
MH86AB4244,Mahindra Blazo X,2016,2023-09-02,2021-11-17,700443,31220,284,70,3.71,38,20,City,Light,39,7,35,5.59,5,Air Filter,59
MH97AB2224,Tata Prima,2020,2024-05-04,2021-11-28,340374,35581,67,96,3.71,40,30,City,Heavy,3,12,27,6.21,4,Air Filter,41
MH95AB6617,Tata Prima,2020,2022-06-15,2021-05-17,548682,10206,291,126,3.71,74,74,Highway,Heavy,-5,5,55,2.75,7,None,8
MH40AB3052,BharatBenz 2823R,2011,2023-03-22,2021-04-27,109778,10337,166,96,3.71,47,21,Highway,Medium,32,15,79,5.01,13,Coolant,59
MH24AB2300,Mahindra Blazo X,2018,2024-08-09,2021-09-13,95833,39099,335,80,3.71,20,84,City,Light,2,18,40,3.08,10,Fuel Pump,16
MH80AB9395,Mahindra Blazo X,2022,2024-03-09,2021-03-24,859057,37324,331,118,3.71,63,63,Highway,Light,12,3,18,4.52,10,Coolant,23
MH64AB2244,Mahindra Blazo X,2018,2023-07-14,2021-03-08,606376,33573,193,74,3.71,57,35,Highway,Medium,21,11,44,3.12,4,Coolant,83
MH36AB3609,Eicher Pro 6035,2013,2023-12-31,2021-07-07,785010,32588,254,76,3.71,23,41,Mixed,Light,12,4,90,3.01,16,Coolant,61
MH64AB3216,BharatBenz 2823R,2013,2024-07-14,2021-07-18,416081,28612,88,88,3.71,93,37,Mixed,Light,26,8,69,2.55,15,Air Filter,98
MH59AB2703,Mahindra Blazo X,2015,2023-09-28,2021-05-11,514507,26799,466,126,3.71,99,66,City,Light,43,8,85,5.02,11,Air Filter,113
MH35AB7875,Eicher Pro 6035,2019,2022-06-11,2021-03-31,246375,34957,203,125,3.71,45,49,City,Light,26,2,72,3.94,19,None,41
MH19AB2577,Ashok Leyland 3718,2019,2023-03-04,2021-10-20,126361,30563,225,98,3.71,85,29,City,Light,42,9,61,2.92,3,Coolant,80
MH53AB3457,Ashok Leyland 3718,2019,2023-07-20,2021-08-05,400373,4417,498,84,3.71,51,77,City,Light,39,2,57,3.79,15,Air Filter,87
MH78AB4407,Eicher Pro 6035,2015,2024-06-08,2021-07-02,185189,3436,290,104,3.71,98,81,Mixed,Light,30,9,70,3.18,16,None,102
MH14AB4024,Eicher Pro 6035,2021,2024-09-05,2021-05-08,664553,37130,471,116,3.71,58,99,Highway,Light,30,15,33,6.27,14,Coolant,11
MH88AB3464,BharatBenz 2823R,2010,2023-01-28,2021-12-10,572154,15006,435,106,3.71,59,25,Mixed,Heavy,15,15,83,3.78,5,Fuel Pump,96
MH26AB2658,BharatBenz 2823R,2023,2024-05-08,2021-08-13,672006,29305,418,124,3.71,99,86,City,Medium,40,3,67,3.84,17,Air Filter,59
MH95AB4699,Ashok Leyland 3718,2023,2022-01-03,2021-07-04,372854,14818,183,81,3.71,23,60,City,Light,26,9,73,5.86,18,Oil Filter,32
MH45AB5217,Mahindra Blazo X,2018,2023-08-20,2021-04-13,669164,26526,95,99,3.71,66,62,Mixed,Medium,25,11,39,5.09,19,None,97
MH42AB9201,Ashok Leyland 3718,2011,2023-06-02,2021-10-03,80949,28172,99,89,3.71,97,96,Mixed,Light,31,8,38,5.34,1,Air Filter,41
MH13AB5795,Mahindra Blazo X,2014,2024-08-27,2021-05-24,787242,38917,215,106,3.71,63,37,City,Light,10,14,19,5.04,9,Fuel Pump,88
MH64AB1757,Mahindra Blazo X,2018,2024-07-13,2021-08-02,161541,27781,155,72,3.71,69,77,Highway,Heavy,40,16,48,6.28,14,Fuel Pump,65
MH56AB1858,BharatBenz 2823R,2013,2023-03-27,2021-08-12,769979,28591,265,78,3.71,72,79,City,Medium,40,12,64,3.33,11,Air Filter,79
MH16AB1659,Tata Prima,2020,2023-03-28,2021-04-29,111842,38828,195,127,3.71,32,46,Mixed,Medium,8,15,37,6.46,2,Brake Pads,118
MH38AB8989,Tata Prima,2012,2022-01-31,2021-07-10,538019,19110,460,110,3.71,22,87,City,Heavy,18,12,27,5.82,5,None,118
MH69AB6972,Eicher Pro 6035,2016,2022-08-05,2021-08-17,282930,1579,474,108,3.71,30,41,City,Heavy,19,3,50,4.86,15,Coolant,43
MH43AB1868,BharatBenz 2823R,2015,2022-02-06,2021-04-26,339134,30350,121,95,3.71,23,43,Highway,Medium,40,3,90,5.15,12,Coolant,110
MH26AB8221,Mahindra Blazo X,2017,2024-08-21,2021-05-02,721553,21090,379,71,3.71,59,59,City,Light,29,13,84,5.1,14,Fuel Pump,27
MH20AB7514,Tata Prima,2012,2024-02-13,2021-08-14,342253,31451,322,92,3.71,61,93,City,Light,11,16,74,2.73,11,Air Filter,56
MH97AB1199,Mahindra Blazo X,2014,2023-10-03,2021-09-17,180356,15827,296,92,3.71,10,85,City,Medium,40,18,90,3.37,9,Brake Pads,114
MH75AB1941,Tata Prima,2019,2024-04-23,2021-03-13,818917,13255,495,128,3.71,5,59,Mixed,Light,36,15,55,6.35,8,None,88
MH23AB4823,Tata Prima,2013,2024-04-19,2021-08-09,787090,7735,462,90,3.71,12,25,Mixed,Heavy,39,17,69,4.64,12,Oil Filter,88
MH62AB8192,Tata Prima,2022,2024-04-17,2021-12-20,739870,17697,235,85,3.71,55,37,Highway,Heavy,-2,9,18,4.01,3,Coolant,15
MH41AB7912,BharatBenz 2823R,2013,2023-02-25,2021-12-26,837738,21973,119,78,3.71,89,49,City,Heavy,5,18,54,5.55,15,None,70
MH55AB6539,Ashok Leyland 3718,2013,2023-04-21,2021-07-29,53849,2531,199,82,3.71,92,40,Mixed,Medium,41,6,69,4.6,8,None,17
MH57AB5738,Mahindra Blazo X,2019,2022-12-23,2021-08-19,62360,14787,295,97,3.71,29,81,Highway,Medium,9,13,37,2.55,7,Brake Pads,81
MH43AB9773,BharatBenz 2823R,2017,2024-11-16,2021-10-20,423216,39179,311,96,3.71,51,29,City,Medium,24,7,12,5.44,17,None,45
MH55AB1027,BharatBenz 2823R,2015,2022-03-13,2021-03-31,827567,32730,75,120,3.71,59,32,Highway,Light,18,19,60,5.43,12,Coolant,53
MH91AB1083,BharatBenz 2823R,2012,2023-09-24,2021-07-30,669055,19537,472,121,3.71,68,95,Highway,Medium,-4,6,17,3.16,18,Air Filter,19
MH33AB8852,BharatBenz 2823R,2019,2023-06-02,2021-03-15,311445,27552,189,86,3.71,87,28,Highway,Medium,37,7,79,6.33,18,Coolant,60
MH61AB9723,BharatBenz 2823R,2014,2023-10-04,2021-04-20,751160,3840,148,107,3.71,97,87,Highway,Heavy,28,10,68,3.4,15,Oil Filter,58
MH46AB5701,Eicher Pro 6035,2015,2022-04-14,2021-05-22,571658,1641,447,105,3.71,14,58,Highway,Light,17,16,70,4.33,3,Air Filter,35
MH68AB8524,Mahindra Blazo X,2014,2022-11-22,2021-08-04,480179,25925,327,70,3.71,60,43,Highway,Light,25,11,67,2.96,19,Fuel Pump,65
MH99AB5389,BharatBenz 2823R,2015,2022-08-30,2021-12-18,104330,19781,100,87,3.71,16,53,Highway,Heavy,31,18,79,4.91,15,Brake Pads,62
MH59AB8050,Mahindra Blazo X,2017,2022-01-22,2021-08-12,101707,20925,200,120,3.71,37,80,City,Light,7,13,21,4.0,16,Coolant,91
MH49AB2500,Eicher Pro 6035,2016,2022-01-13,2021-04-08,330833,35306,481,78,3.71,75,60,City,Medium,27,10,18,3.91,17,Air Filter,64
MH38AB1298,Eicher Pro 6035,2014,2022-08-24,2021-12-15,603372,32613,153,82,3.71,21,24,Highway,Light,1,16,58,5.81,1,None,57
MH69AB9746,Mahindra Blazo X,2019,2024-09-22,2021-08-25,90387,4770,483,109,3.71,65,98,City,Heavy,26,15,92,2.54,11,Air Filter,90
MH29AB1767,Tata Prima,2015,2022-05-31,2021-03-15,576930,5183,138,124,3.71,14,69,Highway,Light,1,2,26,5.69,6,Coolant,65
MH24AB8524,Ashok Leyland 3718,2023,2024-11-29,2021-07-15,878569,30309,190,114,3.71,35,23,City,Heavy,36,18,63,4.79,9,Fuel Pump,84
MH92AB2222,Tata Prima,2013,2022-05-08,2021-05-27,523048,35052,262,84,3.71,64,70,Mixed,Medium,32,2,53,6.44,16,Coolant,46
MH98AB2828,Tata Prima,2021,2023-08-11,2021-09-15,236633,4286,282,112,3.71,74,71,Highway,Medium,38,14,41,4.86,6,Fuel Pump,33
MH40AB9071,Tata Prima,2018,2023-02-04,2021-08-29,898692,22150,443,113,3.71,21,58,Mixed,Heavy,7,9,44,2.72,12,None,88
MH55AB7127,BharatBenz 2823R,2022,2023-12-25,2021-03-10,720798,29206,232,115,3.71,54,27,Highway,Medium,18,14,87,2.7,19,Coolant,96
MH22AB2649,Eicher Pro 6035,2013,2024-10-31,2021-10-23,884874,9690,300,73,3.71,41,64,Highway,Medium,22,17,58,6.03,13,Air Filter,31
MH94AB6718,Tata Prima,2010,2023-09-04,2021-12-15,446210,38696,58,102,3.71,86,47,Mixed,Light,26,3,63,5.86,13,Oil Filter,48
MH90AB6851,Eicher Pro 6035,2016,2022-01-14,2021-12-28,828799,39949,128,93,3.71,66,46,Mixed,Medium,37,14,25,3.88,4,Oil Filter,97
MH40AB7848,Mahindra Blazo X,2016,2024-09-23,2021-10-30,437988,30209,101,105,3.71,94,84,Mixed,Heavy,12,19,94,4.97,9,None,9
MH81AB9637,Ashok Leyland 3718,2013,2022-12-12,2021-04-04,411719,15392,435,120,3.71,84,53,Highway,Medium,28,4,21,4.46,14,Air Filter,56
MH37AB4664,Mahindra Blazo X,2022,2024-05-30,2021-12-16,838245,10143,458,110,3.71,76,81,Mixed,Light,42,14,97,6.37,14,Oil Filter,117
MH56AB5349,Mahindra Blazo X,2023,2023-03-14,2021-10-27,134381,10443,318,79,3.71,92,81,Mixed,Heavy,28,14,17,6.3,17,None,110
MH96AB7678,BharatBenz 2823R,2012,2024-02-29,2021-06-14,824168,21542,275,105,3.71,81,57,City,Medium,32,5,30,6.44,5,Fuel Pump,106
MH89AB6538,Ashok Leyland 3718,2017,2023-01-16,2021-04-29,891708,7369,100,89,3.71,33,45,City,Medium,-5,19,57,5.97,19,Air Filter,57
MH62AB8203,Mahindra Blazo X,2014,2024-08-15,2021-03-16,877675,21418,235,110,3.71,36,43,Mixed,Medium,37,7,17,6.14,2,Fuel Pump,56
MH21AB4523,Mahindra Blazo X,2019,2022-02-19,2021-11-29,243984,28879,83,114,3.71,92,58,Mixed,Heavy,44,5,37,3.37,13,Air Filter,42
MH46AB4175,Ashok Leyland 3718,2016,2024-04-18,2021-11-30,110272,25774,340,113,3.71,84,40,Mixed,Light,36,5,89,5.82,11,Fuel Pump,48
MH70AB2697,Ashok Leyland 3718,2013,2024-03-13,2021-12-21,545916,18196,279,80,3.71,15,66,Mixed,Heavy,25,8,19,5.34,2,Fuel Pump,57
MH95AB4797,Mahindra Blazo X,2013,2024-06-08,2021-04-19,747411,3462,180,81,3.71,10,67,City,Heavy,44,8,61,6.35,1,Oil Filter,119
MH14AB5216,Ashok Leyland 3718,2017,2024-12-05,2021-08-26,788096,14351,169,87,3.71,39,32,Highway,Light,-5,17,24,4.79,3,Air Filter,6
MH50AB3594,Mahindra Blazo X,2023,2023-07-22,2021-09-14,303091,5796,492,99,3.71,37,22,Mixed,Heavy,10,17,13,2.84,12,Coolant,113
MH18AB5912,Mahindra Blazo X,2017,2024-04-12,2021-12-02,314064,15245,375,113,3.71,22,51,Mixed,Heavy,33,6,99,4.89,7,Oil Filter,58
MH70AB3226,BharatBenz 2823R,2011,2024-07-10,2021-10-21,156121,6230,296,117,3.71,41,54,City,Medium,9,16,88,5.25,1,Fuel Pump,88
MH99AB7533,Tata Prima,2023,2023-04-05,2021-07-09,520435,14421,481,106,3.71,17,38,Mixed,Heavy,27,5,71,3.38,9,Fuel Pump,111
MH60AB6183,Mahindra Blazo X,2011,2024-05-01,2021-05-14,651160,33394,241,89,3.71,78,33,Mixed,Medium,17,14,13,4.08,18,Coolant,115
MH82AB9805,Eicher Pro 6035,2012,2024-01-07,2021-10-28,314237,6102,452,94,3.71,94,67,City,Heavy,35,8,50,4.89,6,Coolant,81
MH78AB2795,Tata Prima,2021,2023-03-27,2021-05-10,325049,18075,372,81,3.71,85,87,Mixed,Medium,28,13,82,4.0,9,Fuel Pump,94
MH37AB7442,Tata Prima,2021,2022-12-18,2021-07-10,696047,19523,259,90,3.71,68,64,Mixed,Medium,11,10,64,4.0,8,Coolant,39
MH47AB1837,Tata Prima,2012,2022-03-20,2021-10-09,467567,16497,152,94,3.71,5,38,City,Medium,19,18,37,3.03,18,Brake Pads,50
MH16AB3386,BharatBenz 2823R,2010,2024-11-07,2021-11-20,343125,18250,378,80,3.71,67,83,Highway,Light,36,3,56,6.26,15,Oil Filter,76
MH56AB3439,Mahindra Blazo X,2023,2024-03-28,2021-11-09,421344,23337,421,78,3.71,93,85,Mixed,Heavy,0,17,18,5.5,1,Air Filter,96
MH52AB8689,BharatBenz 2823R,2012,2024-12-12,2021-06-09,132289,15497,182,119,3.71,38,98,Mixed,Heavy,25,8,11,2.5,14,Coolant,109
MH10AB9232,Mahindra Blazo X,2015,2024-09-10,2021-06-14,690794,39939,372,94,3.71,14,85,Highway,Heavy,-1,19,76,5.56,18,Coolant,83
MH69AB5943,BharatBenz 2823R,2017,2024-09-27,2021-09-14,652801,23567,188,104,3.71,88,94,City,Light,34,8,57,5.46,19,Brake Pads,59
MH34AB5492,BharatBenz 2823R,2022,2024-11-09,2021-08-27,463090,21423,170,121,3.71,11,64,Highway,Medium,34,2,78,2.54,19,Air Filter,118
MH15AB1490,Eicher Pro 6035,2021,2022-03-22,2021-09-16,756291,9376,143,101,3.71,60,93,Mixed,Heavy,24,4,83,3.98,10,Brake Pads,76
MH46AB4214,BharatBenz 2823R,2023,2024-12-13,2021-08-12,450890,3387,178,118,3.71,84,86,Highway,Light,-1,12,37,4.93,6,Air Filter,15
MH92AB2668,Ashok Leyland 3718,2019,2024-11-26,2022-01-01,362660,37354,140,83,3.71,41,88,City,Light,6,16,88,4.31,17,Oil Filter,33
MH26AB5130,Eicher Pro 6035,2015,2023-10-11,2021-12-16,309480,37448,141,70,3.71,33,22,Mixed,Heavy,1,4,23,5.61,14,Coolant,73
