record_id,truck_id,truck_number_plate,vehicle_model,year_bought,service_date,last_service_date,total_km_run,km_after_last_service,avg_daily_km_est,engine_temperature_c,vibrations_level,oil_life_percent,battery_health_percent,route_type,load_profile,ambient_temp_c,service_type,parts_changed_last_service,parts_in_stock_status,technician_id,technician_experience_years,current_queue_length,shift_hours_remaining,brake_pad_thickness_mm,tyre_health_percent,fuel_efficiency_kmpl,approx_past_services,days_until_next_service
557,T0097,RP89CG0859,Mahindra Blazo X 35,2016,2024-03-13,2024-01-07,540737,17556,262.2,83.5,2.14,23.4,61.0,Mixed,Medium,30.8,Brake Service,"Alternator, Coolant, Battery",Yes,M009,3,9,2.6,10.7,51.3,3.69,14,56.4
558,T0032,XF21UW4619,Scania P410,2023,2022-12-10,2022-10-21,123782,13678,270.8,69.2,3.8,39.7,78.6,Highway,Medium,32.8,Full Inspection,"Battery, Alternator, Clutch Plate",Yes,M028,7,0,7.6,15.0,50.0,2.38,1,51.8
559,T0309,XS59UR6171,Scania P410,2018,2024-02-15,2024-01-04,446674,16028,375.7,90.1,1.86,31.0,74.7,Highway,Medium,36.4,Electrical Check,"Battery, Oil Filter, Air Filter, Alternator",No,M001,11,7,6.9,14.8,49.6,3.16,9,47.0
560,T0076,IZ45ZR5413,Scania P410,2019,2023-10-22,2023-08-23,343138,16007,263.0,85.8,4.55,37.6,66.4,Highway,Heavy,36.9,Brake Service,"Coolant, Clutch Plate, Battery",Yes,M003,4,9,5.7,13.7,48.8,2.94,6,36.2
561,T0294,VI05XU8893,Ashok Leyland U-3718,2018,2022-10-11,2022-08-05,376159,15462,229.9,75.8,5.03,37.6,73.2,City,Medium,38.2,Engine Check,Battery,Yes,M025,12,13,5.3,13.3,42.8,3.1,9,57.0
562,T0116,EQ62RM4271,Mahindra Blazo X 35,2015,2023-05-12,2023-04-28,621222,3886,277.3,78.0,2.1,82.8,65.5,Highway,Medium,32.8,Brake Service,"Air Filter, Engine Oil, Coolant",No,M026,15,9,3.4,18.0,88.8,3.3,11,57.1
563,T0217,CN02WX4009,Mahindra Blazo X 35,2022,2022-11-30,2022-10-03,181770,14711,253.5,68.2,3.22,44.8,80.7,City,Medium,34.2,Engine Check,Coolant,No,M026,4,1,3.9,11.8,44.7,2.92,1,51.3
564,T0281,IG11RV6083,Ashok Leyland U-3718,2016,2024-04-27,2024-03-19,541966,12908,329.3,92.1,3.38,47.0,53.2,Highway,Medium,28.4,Engine Check,Coolant,No,M038,4,13,6.8,14.9,52.4,2.94,11,54.0
565,T0296,EZ69UF5136,BharatBenz 3123R,2022,2023-02-17,2022-12-26,152406,17427,328.3,87.3,5.73,21.4,89.1,Mixed,Medium,30.9,Engine Check,"Brake Pads, Oil Filter",Partial,M019,5,7,6.2,11.1,38.8,2.35,3,36.9
566,T0005,SB22CG1263,Tata LPT 3718,2024,2022-12-11,2022-11-11,48979,10127,335.8,92.6,2.06,60.6,90.1,Highway,Heavy,28.5,Brake Service,"Alternator, Battery, Oil Filter, Engine Oil",Yes,M010,8,9,6.5,12.6,70.8,3.04,1,32.1
567,T0243,MD34BJ0189,BharatBenz 3123R,2015,2024-03-13,2024-02-23,609434,6926,351.4,74.2,3.66,68.6,49.0,Highway,Heavy,29.9,Routine Service,"Air Filter, Battery, Alternator, Brake Pads",Yes,M022,14,14,2.6,16.0,77.7,2.38,14,24.9
568,T0061,CS47RQ4702,BharatBenz 3123R,2021,2023-10-24,2023-09-19,213985,9161,254.7,95.1,2.87,58.5,80.6,City,Medium,29.1,Routine Service,"Alternator, Clutch Plate",Partial,M039,7,5,3.7,12.7,69.0,2.67,5,41.4
569,T0238,GK16LA6153,Mahindra Blazo X 35,2021,2022-12-30,2022-10-21,231971,16696,237.7,83.5,5.42,35.5,74.5,City,Heavy,40.0,Routine Service,"Engine Oil, Clutch Plate, Alternator",Yes,M029,2,3,5.3,13.5,33.5,3.27,2,26.8
570,T0251,TR45GK4680,Mahindra Blazo X 35,2023,2025-02-19,2025-01-06,131538,9465,211.4,80.9,3.38,59.1,83.1,Highway,Light,31.7,Engine Check,"Coolant, Battery, Alternator, Engine Oil",Partial,M038,13,1,1.7,18.7,71.3,3.46,3,51.8
571,T0197,FA02RO5823,Ashok Leyland U-3718,2021,2023-08-04,2023-06-18,216464,17467,366.9,78.4,2.93,30.4,67.6,City,Heavy,24.2,Full Inspection,Battery,Yes,M009,6,1,5.7,12.2,39.7,2.52,4,40.8
572,T0095,VM87IC9198,Ashok Leyland U-3718,2015,2024-07-18,2024-06-15,598484,10623,319.1,87.5,3.69,62.0,65.4,City,Heavy,32.8,Routine Service,"Oil Filter, Coolant, Alternator, Battery",Partial,M035,8,4,1.2,14.8,66.9,3.71,13,34.1
573,T0107,XB06BH6539,Mahindra Blazo X 35,2016,2024-07-11,2024-05-31,552948,14723,351.8,87.5,4.38,47.0,65.8,Highway,Heavy,28.1,Routine Service,Clutch Plate,No,M012,13,6,1.3,14.7,59.4,2.26,17,37.9
574,T0021,ZY81MF4039,BharatBenz 3123R,2024,2023-08-07,2023-06-01,52404,16479,245.1,86.0,3.43,38.7,89.6,Highway,Heavy,28.0,Routine Service,Coolant,Yes,M011,13,14,4.2,13.3,51.4,2.21,1,22.4
575,T0064,ZN21FF1052,Scania P410,2019,2025-02-23,2025-02-06,354504,5379,301.8,86.4,4.25,78.2,67.1,City,Heavy,46.2,Brake Service,"Engine Oil, Oil Filter, Air Filter, Clutch Plate",Partial,M011,5,10,7.6,19.0,84.0,4.09,9,21.0
576,T0274,MH83OA2536,Ashok Leyland U-3718,2017,2022-12-27,2022-10-30,468739,15447,262.5,89.1,3.84,36.9,57.8,Mixed,Medium,22.2,Routine Service,"Brake Pads, Battery, Engine Oil",Partial,M021,8,11,3.7,12.2,39.2,3.83,9,46.1
577,T0122,CN93SV8211,Volvo FM 400,2018,2025-06-26,2025-03-28,430005,20583,226.7,72.6,4.14,25.1,67.0,Highway,Medium,37.4,Brake Service,"Brake Pads, Coolant",No,M014,15,10,3.6,12.8,33.6,2.56,12,47.3
578,T0066,EB94VK0601,Mahindra Blazo X 35,2024,2022-09-30,2022-08-07,84518,13273,245.6,82.3,3.1,40.2,89.9,City,Light,42.1,Electrical Check,"Coolant, Brake Pads, Battery",Yes,M036,3,9,3.0,12.4,50.1,3.48,1,41.1
579,T0234,AG55PO4375,Volvo FM 400,2019,2024-12-27,2024-10-07,377508,20333,250.8,97.7,4.42,24.0,74.5,Mixed,Medium,20.3,Brake Service,"Oil Filter, Battery",Partial,M010,9,6,4.2,10.8,23.0,3.89,9,22.9
580,T0099,CX14RT9471,Mahindra Blazo X 35,2020,2023-12-24,2023-10-29,285823,12167,214.6,83.0,3.28,47.0,77.3,Mixed,Heavy,28.9,Brake Service,"Alternator, Clutch Plate",Yes,M033,11,2,6.3,17.7,63.3,2.99,7,39.6
581,T0223,CA33HD1454,Ashok Leyland U-3718,2015,2024-05-27,2024-05-17,604428,3170,295.1,79.6,4.09,81.4,59.9,Mixed,Light,32.0,Full Inspection,"Oil Filter, Coolant, Engine Oil",Partial,M005,9,0,4.6,18.5,87.8,3.49,16,40.7
582,T0209,PK13JV4662,Volvo FM 400,2020,2024-10-28,2024-09-02,288081,21296,379.2,62.4,3.16,14.6,73.9,Mixed,Light,31.2,Routine Service,"Coolant, Oil Filter, Alternator",No,M024,7,6,4.7,14.7,32.9,2.87,8,34.2
583,T0051,QA35AQ1403,Ashok Leyland U-3718,2018,2025-01-25,2024-12-11,391800,11633,255.9,89.7,3.74,55.8,73.0,City,Light,28.5,Routine Service,"Coolant, Clutch Plate",No,M008,6,10,1.4,17.6,66.1,3.1,11,58.1
584,T0271,CO72NB8243,Tata LPT 3718,2024,2023-01-05,2022-11-18,36035,15268,315.4,96.9,3.1,33.2,81.7,City,Heavy,26.6,Brake Service,Engine Oil,Yes,M018,13,3,4.4,12.6,50.8,3.01,1,33.8
585,T0200,BN28TI5633,BharatBenz 3123R,2020,2025-05-03,2025-01-28,277203,24985,261.7,79.6,3.91,5.0,77.8,Mixed,Heavy,19.8,Full Inspection,"Clutch Plate, Coolant, Oil Filter, Air Filter",Yes,M035,10,13,7.6,11.5,12.7,1.5,8,12.3
586,T0080,XN88HU4958,Mahindra Blazo X 35,2017,2024-05-12,2024-02-18,488368,23587,280.6,89.5,3.58,15.0,69.1,Highway,Medium,34.5,Engine Check,"Engine Oil, Battery, Alternator",No,M037,2,9,3.4,11.1,10.0,2.12,11,40.5
587,T0312,UQ54KD5799,Ashok Leyland U-3718,2022,2024-10-28,2024-09-15,199805,15029,348.7,74.3,2.78,29.9,71.6,Highway,Medium,28.2,Engine Check,"Coolant, Air Filter, Brake Pads, Clutch Plate",Partial,M023,9,4,7.6,14.2,56.3,3.25,5,53.6
588,T0157,OP03ZS5780,Mahindra Blazo X 35,2016,2023-09-05,2023-06-04,556441,21076,224.5,86.6,3.17,21.3,65.9,City,Medium,33.1,Engine Check,Oil Filter,Yes,M021,6,5,6.7,9.1,22.6,3.19,10,26.3
589,T0048,KO42KX5687,BharatBenz 3123R,2024,2024-08-21,2024-07-08,52260,17237,383.5,88.3,4.69,33.9,85.5,Highway,Light,27.7,Engine Check,"Engine Oil, Brake Pads, Battery, Coolant",Partial,M019,7,6,6.0,15.1,44.5,4.33,1,45.0
590,T0246,VJ80SO9187,Ashok Leyland U-3718,2023,2024-06-27,2024-04-21,130530,20533,303.0,81.9,3.11,15.8,78.2,Mixed,Heavy,37.8,Full Inspection,Alternator,Yes,M035,8,8,7.6,10.2,23.7,3.64,2,20.4
591,T0098,FB89HK1934,Mahindra Blazo X 35,2015,2024-05-04,2024-04-15,596759,7543,394.0,87.7,3.29,69.5,51.5,Mixed,Medium,32.0,Full Inspection,"Brake Pads, Battery, Alternator",Partial,M035,4,7,1.3,15.3,76.4,4.33,19,51.0
592,T0022,GU44YZ5712,Scania P410,2022,2023-05-09,2023-04-04,174860,11384,322.7,90.8,3.09,66.1,81.9,Highway,Heavy,29.8,Engine Check,"Air Filter, Engine Oil",No,M034,6,7,4.0,12.3,68.1,3.45,2,20.1
593,T0264,WO36TY7002,Tata LPT 3718,2015,2023-01-20,2023-01-01,615788,4627,235.0,70.3,3.8,85.9,52.7,City,Medium,30.4,Engine Check,"Battery, Engine Oil",No,M025,12,14,8.0,18.9,82.8,3.57,16,44.3
594,T0277,NG40ZS0985,Volvo FM 400,2019,2023-06-08,2023-02-18,353828,22920,207.4,80.6,2.66,5.0,75.3,City,Medium,46.4,Full Inspection,"Brake Pads, Engine Oil, Battery",Partial,M019,9,12,2.1,10.4,30.6,2.08,6,36.4
595,T0202,MZ96UI4137,BharatBenz 3123R,2019,2023-04-24,2023-03-26,377655,9151,314.1,74.5,2.49,57.3,75.9,Mixed,Heavy,29.7,Electrical Check,"Clutch Plate, Engine Oil, Air Filter, Alternator",Partial,M003,11,10,1.6,14.9,74.3,2.03,8,26.4
596,T0169,NT29RD9373,Tata LPT 3718,2020,2022-08-26,2022-08-10,315877,5584,337.9,87.4,1.9,75.6,71.4,Highway,Light,29.2,Routine Service,"Alternator, Air Filter",Yes,M023,2,4,2.8,14.7,78.7,3.25,4,71.9
597,T0221,UA29MJ9466,Ashok Leyland U-3718,2018,2024-04-07,2024-03-12,429166,5795,220.8,78.9,2.38,80.2,67.8,Highway,Heavy,20.4,Routine Service,"Alternator, Engine Oil",No,M033,5,2,6.0,19.1,79.0,3.69,10,23.3
598,T0080,XN88HU4958,Mahindra Blazo X 35,2019,2024-07-29,2024-05-28,361306,21875,347.4,76.9,2.93,5.8,78.9,Highway,Medium,30.2,Full Inspection,"Coolant, Air Filter, Brake Pads",Yes,M026,15,14,7.4,14.6,38.4,3.26,9,25.3
599,T0138,FL30BN2930,Volvo FM 400,2022,2023-08-06,2023-05-04,168602,24709,261.2,79.3,3.66,5.0,83.1,Mixed,Medium,34.2,Routine Service,"Battery, Clutch Plate",No,M011,14,12,4.9,11.8,12.2,3.86,3,26.5
600,T0184,KM99YW0519,Mahindra Blazo X 35,2018,2023-01-17,2022-10-19,418118,22184,245.0,74.3,2.17,10.9,63.1,Highway,Light,28.1,Electrical Check,Air Filter,No,M019,14,7,3.6,11.3,39.3,3.09,8,34.9
601,T0170,YT15NB1344,Volvo FM 400,2017,2023-12-14,2023-09-30,458317,19645,261.9,87.9,3.77,24.5,73.1,Mixed,Light,28.5,Electrical Check,"Oil Filter, Brake Pads, Alternator",Partial,M031,5,12,3.0,12.5,43.3,3.37,12,40.4
602,T0066,EB94VK0601,Tata LPT 3718,2021,2023-03-09,2023-02-21,240982,5201,317.7,91.6,3.26,79.9,82.6,Mixed,Heavy,31.1,Engine Check,"Oil Filter, Engine Oil",Yes,M025,15,8,7.9,15.1,79.4,3.48,5,41.0
603,T0080,XN88HU4958,Tata LPT 3718,2023,2023-03-24,2023-01-29,104892,14703,271.4,86.3,4.29,44.9,82.0,Highway,Heavy,31.5,Full Inspection,Battery,No,M016,4,7,1.1,15.9,41.4,3.79,1,16.6
604,T0005,SB22CG1263,Ashok Leyland U-3718,2022,2023-01-08,2022-10-27,208639,21838,298.1,76.7,2.82,10.2,79.5,City,Medium,32.8,Full Inspection,Alternator,Yes,M032,4,0,4.9,14.0,40.1,2.53,2,33.3
605,T0079,VM75HV9253,Mahindra Blazo X 35,2023,2024-08-11,2024-07-31,109152,4431,395.0,87.9,2.55,91.0,89.1,Highway,Light,34.0,Engine Check,Coolant,Partial,M018,12,3,4.3,16.1,82.7,3.48,3,33.5
606,T0220,SN90LV3793,BharatBenz 3123R,2022,2022-10-03,2022-08-28,185067,8080,219.7,87.9,3.47,65.7,84.9,Mixed,Light,24.7,Engine Check,"Brake Pads, Alternator",Partial,M033,1,7,5.8,11.2,70.1,2.79,1,64.3
607,T0118,FD23AT1375,Volvo FM 400,2017,2022-10-02,2022-09-08,467394,8748,350.3,80.2,2.18,62.8,64.6,City,Light,31.6,Full Inspection,"Air Filter, Brake Pads",Yes,M018,8,4,2.1,14.2,75.6,4.14,7,35.7
608,T0103,FF83DX0811,Volvo FM 400,2015,2025-01-09,2024-11-07,603863,22758,358.6,76.6,0.81,15.7,55.1,City,Medium,45.5,Electrical Check,"Brake Pads, Oil Filter, Air Filter",No,M034,1,0,5.8,9.8,13.8,3.85,13,10.8
609,T0032,XF21UW4619,Scania P410,2021,2023-05-31,2023-05-03,248471,6329,220.7,93.5,1.21,81.7,80.3,Mixed,Light,29.6,Brake Service,Coolant,No,M020,3,4,3.9,17.7,77.2,3.84,5,38.2
610,T0180,MF59SD6526,Mahindra Blazo X 35,2021,2022-07-16,2022-06-07,228619,14901,378.5,85.7,4.9,45.2,85.3,Highway,Medium,30.6,Brake Service,"Engine Oil, Clutch Plate",Yes,M004,13,10,7.5,12.0,42.9,3.63,2,32.1
611,T0109,LF34KC4631,Tata LPT 3718,2022,2022-10-08,2022-08-14,176271,18519,335.1,89.8,2.76,30.5,91.4,City,Heavy,35.6,Brake Service,"Air Filter, Clutch Plate, Brake Pads, Alternator",No,M007,2,14,4.1,11.9,42.3,1.5,1,39.1
612,T0058,SL79HV5447,Volvo FM 400,2015,2023-11-13,2023-09-11,608757,15258,241.4,81.5,1.71,45.4,59.2,Mixed,Heavy,36.0,Full Inspection,"Battery, Clutch Plate, Air Filter",Partial,M009,3,13,1.7,13.3,42.9,2.77,13,29.6
613,T0271,CO72NB8243,Scania P410,2020,2023-07-19,2023-06-10,312068,14217,362.2,91.6,2.27,42.3,78.0,Highway,Heavy,30.4,Engine Check,"Alternator, Engine Oil",Yes,M018,5,2,5.1,14.4,54.0,2.94,6,34.3
614,T0309,XS59UR6171,Volvo FM 400,2015,2024-04-02,2024-03-10,614688,7165,309.6,83.0,5.72,77.3,59.0,Mixed,Heavy,28.0,Full Inspection,"Clutch Plate, Engine Oil",Yes,M013,3,0,5.0,17.5,78.3,4.32,18,24.9
615,T0317,TW85EI5188,Tata LPT 3718,2019,2023-08-25,2023-06-23,353011,22206,348.5,81.4,2.29,19.8,68.8,Mixed,Medium,34.8,Electrical Check,"Engine Oil, Oil Filter",Yes,M013,12,1,6.3,9.4,35.3,1.99,7,42.4
616,T0282,CG35RG9044,Mahindra Blazo X 35,2019,2023-01-15,2022-11-19,381129,20356,352.0,84.0,2.75,8.3,73.8,Mixed,Medium,30.4,Full Inspection,"Oil Filter, Brake Pads, Engine Oil, Alternator",No,M024,8,1,7.5,10.4,29.1,4.61,6,27.1
617,T0258,VZ41BJ7138,Volvo FM 400,2017,2025-02-26,2024-12-14,498321,16375,220.5,79.3,3.87,39.9,66.5,Mixed,Medium,31.2,Engine Check,"Engine Oil, Coolant, Clutch Plate",Partial,M009,5,4,4.3,12.1,56.0,3.24,13,39.5
618,T0204,GF69WC7126,Ashok Leyland U-3718,2023,2024-01-14,2023-11-13,126075,16115,258.9,78.2,2.2,33.8,91.3,Mixed,Light,23.0,Brake Service,"Alternator, Coolant, Brake Pads, Battery",Partial,M011,3,13,2.6,14.9,38.5,2.4,2,52.1
619,T0106,UW54ZB4464,BharatBenz 3123R,2015,2024-05-27,2024-04-03,597574,16321,297.0,85.5,3.13,32.0,60.6,Highway,Heavy,34.9,Full Inspection,Clutch Plate,Partial,M014,10,4,1.5,14.6,43.1,3.54,16,9.1
620,T0133,VW03TD3187,Tata LPT 3718,2018,2024-10-18,2024-09-15,421918,9846,289.9,90.1,2.96,62.7,74.1,City,Heavy,29.1,Routine Service,Air Filter,Yes,M018,8,7,6.5,15.4,72.8,2.44,9,17.7
621,T0274,MH83OA2536,BharatBenz 3123R,2019,2023-08-25,2023-06-11,363885,24630,327.0,85.0,2.96,5.0,68.7,Highway,Heavy,31.5,Engine Check,"Air Filter, Clutch Plate, Engine Oil",Partial,M010,9,5,1.5,12.8,18.4,2.75,8,23.2
622,T0108,NL60SW6772,Scania P410,2016,2024-09-06,2024-08-15,543967,5448,242.4,85.5,4.1,78.1,64.6,Highway,Heavy,31.1,Brake Service,"Battery, Engine Oil, Clutch Plate",Partial,M023,1,1,7.9,18.4,79.8,3.27,15,51.4
623,T0069,RE10AL5227,Ashok Leyland U-3718,2024,2024-07-21,2024-05-29,80247,21115,396.3,104.7,5.24,13.1,87.9,City,Medium,33.6,Brake Service,Battery,Yes,M004,12,0,1.3,13.5,40.3,2.09,1,26.0
624,T0091,ZH96HO6706,Tata LPT 3718,2015,2024-04-29,2024-02-26,609383,17776,277.8,96.9,3.84,28.9,58.0,Mixed,Heavy,23.1,Brake Service,Alternator,Partial,M038,7,11,6.4,10.5,50.7,3.49,15,29.3
625,T0310,ZZ81LZ4968,Scania P410,2018,2022-07-14,2022-04-30,394886,22607,298.2,83.3,2.5,10.6,71.8,City,Light,34.3,Engine Check,"Brake Pads, Coolant, Battery",No,M021,14,14,3.0,11.0,12.9,3.49,8,20.9
626,T0229,GJ83CO5565,BharatBenz 3123R,2021,2025-06-12,2025-03-25,241856,21858,275.0,85.8,3.14,12.5,73.5,City,Light,23.5,Electrical Check,Clutch Plate,Yes,M031,7,14,7.3,10.4,24.9,3.31,6,49.6
627,T0095,VM87IC9198,BharatBenz 3123R,2018,2025-03-09,2024-12-24,428211,21278,281.8,77.5,2.33,18.0,68.7,Mixed,Medium,30.8,Electrical Check,"Engine Oil, Air Filter, Oil Filter",Yes,M012,7,2,7.6,9.2,43.1,3.43,13,40.0
628,T0312,UQ54KD5799,BharatBenz 3123R,2016,2022-08-20,2022-07-13,502707,13631,358.0,84.4,5.3,44.9,55.1,Highway,Light,27.8,Routine Service,"Clutch Plate, Battery",No,M028,4,14,1.5,11.1,48.9,3.49,13,54.0
629,T0270,BS50LJ4532,BharatBenz 3123R,2015,2022-12-13,2022-11-26,601346,6637,387.1,89.8,4.65,80.9,58.8,Mixed,Light,28.0,Engine Check,"Engine Oil, Clutch Plate, Alternator, Battery",Yes,M025,2,7,4.2,16.5,77.5,4.03,12,38.1
630,T0043,KQ16MG6077,Tata LPT 3718,2017,2023-09-28,2023-08-15,484021,14723,327.5,71.6,3.96,31.7,63.5,Mixed,Heavy,27.5,Brake Service,Oil Filter,Partial,M001,10,4,5.8,9.8,53.0,3.13,8,22.4
631,T0044,CL19NB2848,BharatBenz 3123R,2017,2022-12-09,2022-10-26,494811,15023,340.2,93.9,3.73,42.4,68.4,City,Heavy,26.9,Engine Check,"Coolant, Air Filter",No,M029,10,4,4.9,15.3,46.9,2.84,8,27.4
632,T0125,BN34BV0886,Volvo FM 400,2023,2024-05-24,2024-04-16,122842,9685,253.0,84.6,3.54,55.8,85.8,Mixed,Medium,24.7,Routine Service,Engine Oil,Yes,M035,9,9,5.0,12.5,64.0,1.55,3,66.4
633,T0279,ZG23US7320,Tata LPT 3718,2016,2023-10-27,2023-09-07,529647,19058,374.2,83.1,4.17,29.6,61.3,Mixed,Medium,37.2,Engine Check,Brake Pads,Yes,M010,10,5,3.4,13.9,37.6,2.66,15,34.7
634,T0219,CE28KX3719,Ashok Leyland U-3718,2017,2023-06-19,2023-04-22,446448,12477,211.5,93.3,5.2,49.0,58.3,City,Heavy,27.6,Routine Service,"Alternator, Battery",Partial,M019,2,3,4.2,14.0,58.3,2.52,10,33.2
635,T0252,NH93YI0777,BharatBenz 3123R,2016,2023-12-13,2023-10-31,531493,16663,383.3,87.2,4.6,26.0,63.2,Highway,Light,36.6,Brake Service,"Oil Filter, Coolant, Air Filter",Yes,M019,11,10,3.2,14.6,39.9,2.63,10,24.0
636,T0044,CL19NB2848,Volvo FM 400,2024,2024-04-15,2024-03-11,38844,9533,272.1,78.8,4.49,63.3,84.7,Highway,Light,19.6,Brake Service,"Air Filter, Battery, Brake Pads",Yes,M028,11,4,2.9,13.4,62.4,2.7,1,45.2
637,T0320,EX76HK1598,Tata LPT 3718,2020,2024-04-23,2024-01-11,302499,21686,209.9,74.0,3.88,17.0,82.6,Highway,Medium,37.0,Routine Service,"Coolant, Alternator, Battery",Yes,M032,6,13,3.9,9.5,28.6,3.88,6,40.3
638,T0077,TQ72OY4619,Mahindra Blazo X 35,2017,2022-07-11,2022-05-28,494532,15787,357.0,73.7,4.71,32.8,59.3,City,Light,26.2,Electrical Check,"Clutch Plate, Alternator, Engine Oil, Battery",Partial,M025,1,2,6.5,14.1,51.9,3.7,9,49.7
639,T0143,NN95KM6920,BharatBenz 3123R,2016,2024-07-25,2024-06-05,521246,11125,219.7,85.1,2.45,56.3,68.4,City,Light,33.1,Electrical Check,"Battery, Air Filter, Brake Pads, Clutch Plate",No,M012,6,2,1.5,17.2,62.4,4.23,14,31.6
640,T0309,XS59UR6171,Mahindra Blazo X 35,2020,2024-04-28,2024-03-05,303433,13894,255.0,79.0,5.34,43.7,77.8,Highway,Heavy,35.6,Electrical Check,"Alternator, Coolant, Brake Pads, Clutch Plate",Partial,M016,3,2,4.3,15.7,54.6,2.51,9,42.3
641,T0273,HC35XE8990,Scania P410,2018,2022-10-29,2022-08-21,406652,23005,329.8,77.3,3.97,5.0,72.3,City,Light,37.1,Routine Service,"Brake Pads, Battery, Engine Oil, Oil Filter",No,M038,4,7,2.4,8.2,27.6,2.95,8,36.5
642,T0105,TN74UN1590,Volvo FM 400,2020,2024-01-11,2023-12-20,326631,7737,344.4,87.5,3.07,75.4,72.1,Mixed,Medium,37.4,Brake Service,Engine Oil,No,M009,2,3,6.3,13.1,77.3,2.98,7,51.0
643,T0072,RS95MC0432,Tata LPT 3718,2022,2024-12-16,2024-11-08,174428,9394,246.7,70.8,5.22,63.4,84.3,Highway,Heavy,22.5,Routine Service,"Brake Pads, Alternator",Yes,M027,8,12,5.6,10.9,64.5,2.31,3,28.9
644,T0071,QX80EH7521,Volvo FM 400,2017,2025-04-13,2025-03-29,482606,4136,267.4,78.2,2.51,88.5,69.9,City,Heavy,39.2,Full Inspection,"Battery, Engine Oil, Clutch Plate, Alternator",Partial,M002,10,13,6.1,15.4,87.8,3.82,15,41.4
645,T0038,NS76JB6338,Ashok Leyland U-3718,2024,2024-12-23,2024-11-07,49277,16013,346.8,99.4,5.13,36.3,90.8,Highway,Light,37.4,Routine Service,"Air Filter, Engine Oil, Oil Filter",Yes,M010,14,12,6.9,9.3,41.2,3.44,1,27.9
646,T0292,SY55EZ8434,Ashok Leyland U-3718,2017,2024-12-14,2024-10-31,476932,10221,231.6,96.3,4.08,54.2,60.8,Highway,Medium,30.7,Electrical Check,"Clutch Plate, Brake Pads, Battery",No,M009,1,10,1.5,16.3,71.9,3.9,15,32.4
647,T0007,ZQ56VU2032,Tata LPT 3718,2016,2022-10-11,2022-08-15,546762,20851,365.7,86.7,1.37,19.8,59.6,Highway,Light,24.5,Electrical Check,"Air Filter, Engine Oil",No,M003,7,1,7.7,11.3,24.0,4.01,10,57.0
648,T0233,RJ60ZR3794,Scania P410,2019,2023-11-11,2023-09-23,346285,10074,203.9,85.3,3.57,59.3,74.3,Mixed,Heavy,32.5,Routine Service,"Alternator, Oil Filter",No,M020,5,4,6.6,17.1,64.2,3.65,8,15.1
649,T0268,IT71SS1957,Ashok Leyland U-3718,2017,2024-08-07,2024-07-15,445765,9085,394.9,96.8,2.46,58.2,67.8,Mixed,Light,28.1,Engine Check,Brake Pads,No,M026,1,10,5.3,13.9,73.4,4.23,13,44.2
650,T0287,HK50HD1856,Scania P410,2016,2024-11-17,2024-09-25,539274,18209,339.0,83.3,5.64,23.9,65.1,Mixed,Medium,30.1,Routine Service,"Alternator, Clutch Plate, Brake Pads",Yes,M031,6,4,5.2,9.1,33.2,3.17,13,24.0
651,T0191,GT80LS0505,Mahindra Blazo X 35,2021,2024-10-06,2024-08-13,225126,19372,353.0,64.4,3.87,16.8,86.2,Highway,Medium,29.1,Full Inspection,Oil Filter,No,M007,13,1,1.7,11.9,22.6,1.5,6,26.5
652,T0172,NS28JR9577,Volvo FM 400,2018,2023-08-28,2023-07-05,409640,21800,399.8,77.4,2.47,10.6,71.2,City,Light,41.5,Full Inspection,Oil Filter,Yes,M035,10,6,7.6,11.1,29.5,3.02,10,22.2
653,T0006,JF29QP1713,Tata LPT 3718,2018,2022-08-15,2022-07-25,442250,8275,378.4,63.5,4.2,67.2,68.6,Mixed,Light,24.0,Full Inspection,"Coolant, Engine Oil",Partial,M003,12,13,2.6,17.2,72.1,3.34,9,31.6
654,T0023,ZP57BP5819,Scania P410,2022,2023-08-17,2023-07-22,157602,10353,392.0,83.6,0.53,61.1,88.6,Highway,Light,30.6,Brake Service,Coolant,Yes,M021,5,12,2.3,18.1,62.6,4.14,2,44.7
655,T0145,EU46QV0742,Ashok Leyland U-3718,2023,2022-08-16,2022-06-20,149996,17658,309.3,76.6,4.28,25.6,85.2,Highway,Medium,36.8,Brake Service,"Air Filter, Battery, Alternator",Yes,M026,12,8,1.8,11.6,45.6,2.76,1,50.7
656,T0209,PK13JV4662,Mahindra Blazo X 35,2023,2022-07-25,2022-06-19,107457,13863,374.8,82.9,3.1,47.4,85.4,Highway,Heavy,35.2,Full Inspection,Alternator,No,M010,8,9,6.7,14.0,52.8,2.95,1,12.6
657,T0020,KH29LW5098,Tata LPT 3718,2017,2025-04-30,2025-04-04,496389,7696,285.3,85.2,3.37,72.6,61.8,Highway,Heavy,20.0,Engine Check,Oil Filter,Partial,M030,4,14,5.4,15.0,71.1,3.77,15,17.7
658,T0111,ID36TW7963,Mahindra Blazo X 35,2017,2023-05-07,2023-04-11,470059,6737,257.1,85.7,4.65,67.1,61.5,Mixed,Light,24.5,Brake Service,"Clutch Plate, Alternator, Oil Filter",No,M033,5,1,2.5,18.1,76.5,3.37,12,31.6
659,T0185,HZ54YW4111,Scania P410,2021,2022-07-31,2022-03-29,235453,24960,200.7,91.1,2.99,5.0,81.8,Highway,Heavy,37.1,Routine Service,"Brake Pads, Coolant",Partial,M025,15,0,4.5,9.0,32.3,2.91,2,32.2
